"source","question_id","outline_code","source_outline_code","correct_percent","subject","subtopic","key","path","pilot_question_status","has_finished_transform"
"ccg_finished","14824","31010107","31010107",,"EVIDENCE","Preliminary questions","B","C:\CCG\Finished\CQ14824.md","transformed_exact_code","True"
"foc_finished","14824","31010107","31010107",,"EVIDENCE","Preliminary questions","B","C:\FOC\Workspace\Finished\CQ14824.md","transformed_exact_code","True"
"foc_finished","14829","31010107","31010107",,"EVIDENCE","Preliminary questions","C","C:\FOC\Workspace\Finished\CQ14829.md","transformed_exact_code","True"
"foc_finished","14834","31010107","31010107",,"EVIDENCE","Preliminary questions","C","C:\FOC\Workspace\Finished\CQ14834.md","transformed_exact_code","True"
"foc_finished","14835","31010107","31010107",,"EVIDENCE","Preliminary questions","D","C:\FOC\Workspace\Finished\CQ14835.md","transformed_exact_code","True"
"foc_finished","14837","31010107","31010107",,"EVIDENCE","Preliminary questions","C","C:\FOC\Workspace\Finished\CQ14837.md","transformed_exact_code","True"
"foc_qbank","14824","31010107","31010107","42","Evidence","Presentation of Evidence","D","C:\FOC\Workspace\QBank\14824.md","in_scope_exact_code","True"
"foc_qbank","14829","31010107","31010107","72","Evidence","Presentation of Evidence","A","C:\FOC\Workspace\QBank\14829.md","in_scope_exact_code","True"
"foc_qbank","14834","31010107","31010107","81","Evidence","Presentation of Evidence","B","C:\FOC\Workspace\QBank\14834.md","in_scope_exact_code","True"
"foc_qbank","14835","31010107","31010107","69","Evidence","Presentation of Evidence","B","C:\FOC\Workspace\QBank\14835.md","in_scope_exact_code","True"
"foc_qbank","14837","31010107","31010107","75","Evidence","Presentation of Evidence","A","C:\FOC\Workspace\QBank\14837.md","in_scope_exact_code","True"
"foc_qbank","17268","31010107","31010107",,"Evidence","Presentation of Evidence","B","C:\FOC\Workspace\QBank\17268.md","in_scope_exact_code","False"
"foc_qbank","17896","31010107","31010107",,"Evidence","Presentation of Evidence","A","C:\FOC\Workspace\QBank\17896.md","in_scope_exact_code","False"
"foc_qbank","18422","31010107","31010107",,"Evidence","Presentation of Evidence","B","C:\FOC\Workspace\QBank\18422.md","in_scope_exact_code","False"
"foc_qbank","18910","31010107","31010107",,"Evidence","Presentation of Evidence","A","C:\FOC\Workspace\QBank\18910.md","in_scope_exact_code","False"
"foc_qbank","18970","31010107","31010107",,"Evidence","Presentation of Evidence","B","C:\FOC\Workspace\QBank\18970.md","in_scope_exact_code","False"
"foc_qbank","19107","31010107","31010107",,"Evidence","Presentation of Evidence","A","C:\FOC\Workspace\QBank\19107.md","in_scope_exact_code","False"
"foc_qbank","19675","31010107","31010107",,"Evidence","Presentation of Evidence","A","C:\FOC\Workspace\QBank\19675.md","in_scope_exact_code","False"
"foc_qbank","19693","31010107","31010107",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\19693.md","in_scope_exact_code","False"
"foc_qbank","19989","31010107","31010107",,"Evidence","Presentation of Evidence","A","C:\FOC\Workspace\QBank\19989.md","in_scope_exact_code","False"
"foc_qbank","20048","31010107","31010107",,"Evidence","Presentation of Evidence","B","C:\FOC\Workspace\QBank\20048.md","in_scope_exact_code","False"
"foc_qbank","20116","31010107","31010107",,"Evidence","Presentation of Evidence","A","C:\FOC\Workspace\QBank\20116.md","in_scope_exact_code","False"
"foc_qbank","20154","31010107","31010107",,"Evidence","Presentation of Evidence","B","C:\FOC\Workspace\QBank\20154.md","in_scope_exact_code","False"
"foc_qbank","20336","31010107","31010107",,"Evidence","Presentation of Evidence","B","C:\FOC\Workspace\QBank\20336.md","in_scope_exact_code","False"
"foc_qbank","20848","31010107","31010107",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\20848.md","in_scope_exact_code","False"
"foc_qbank","20976","31010107","31010107",,"Evidence","Presentation of Evidence","B","C:\FOC\Workspace\QBank\20976.md","in_scope_exact_code","False"
"foc_qbank","21052","31010107","31010107",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\21052.md","in_scope_exact_code","False"
"foc_qbank","21082","31010107","31010107",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\21082.md","in_scope_exact_code","False"
"foc_qbank","21511","31010107","31010107",,"Evidence","Presentation of Evidence","A","C:\FOC\Workspace\QBank\21511.md","in_scope_exact_code","False"
"foc_qbank","21703","31010107","31010107",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\21703.md","in_scope_exact_code","False"
"foc_finished","14823","31010406","31010406",,"EVIDENCE","Witnesses","B","C:\FOC\Workspace\Finished\CQ14823.md","transformed_exact_code","True"
"foc_finished","14836","31010406","31010406",,"EVIDENCE","Truthfulness","A","C:\FOC\Workspace\Finished\CQ14836.md","transformed_exact_code","True"
"foc_finished","14844","31010406","31010406",,"EVIDENCE","Truthfulness","C","C:\FOC\Workspace\Finished\CQ14844.md","transformed_exact_code","True"
"foc_finished","14848","31010406","31010406",,"EVIDENCE","Presentation of Evidence","D","C:\FOC\Workspace\Finished\CQ14848.md","transformed_exact_code","True"
"foc_finished","22213","31010406","31010406",,"EVIDENCE","Truthfulness","B","C:\FOC\Workspace\Finished\CQ22213.md","transformed_exact_code","True"
"foc_finished","22232","31010406","31010406",,"EVIDENCE","Truthfulness","B","C:\FOC\Workspace\Finished\CQ22232.md","transformed_exact_code","True"
"foc_qbank","14823","31010406","31010406","55","Evidence","Presentation of Evidence","A","C:\FOC\Workspace\QBank\14823.md","in_scope_exact_code","True"
"foc_qbank","14836","31010406","31010406","67","Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\14836.md","in_scope_exact_code","True"
"foc_qbank","14844","31010406","31010406","46","Evidence","Presentation of Evidence","A","C:\FOC\Workspace\QBank\14844.md","in_scope_exact_code","True"
"foc_qbank","14848","31010406","31010406","78","Evidence","Presentation of Evidence","B","C:\FOC\Workspace\QBank\14848.md","in_scope_exact_code","True"
"foc_qbank","17065","31010406","31010406",,"Evidence","Presentation of Evidence","A","C:\FOC\Workspace\QBank\17065.md","in_scope_exact_code","False"
"foc_qbank","17169","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\17169.md","in_scope_exact_code","False"
"foc_qbank","17321","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\17321.md","in_scope_exact_code","False"
"foc_qbank","17373","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\17373.md","in_scope_exact_code","False"
"foc_qbank","17730","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\17730.md","in_scope_exact_code","False"
"foc_qbank","17753","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\17753.md","in_scope_exact_code","False"
"foc_qbank","17822","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\17822.md","in_scope_exact_code","False"
"foc_qbank","17996","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\17996.md","in_scope_exact_code","False"
"foc_qbank","18627","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\18627.md","in_scope_exact_code","False"
"foc_qbank","18705","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\18705.md","in_scope_exact_code","False"
"foc_qbank","19013","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\19013.md","in_scope_exact_code","False"
"foc_qbank","19297","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\19297.md","in_scope_exact_code","False"
"foc_qbank","19806","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\19806.md","in_scope_exact_code","False"
"foc_qbank","20298","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\20298.md","in_scope_exact_code","False"
"foc_qbank","20423","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\20423.md","in_scope_exact_code","False"
"foc_qbank","20464","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\20464.md","in_scope_exact_code","False"
"foc_qbank","20683","31010406","31010406",,"Evidence","Presentation of Evidence","B","C:\FOC\Workspace\QBank\20683.md","in_scope_exact_code","False"
"foc_qbank","20841","31010406","31010406",,"Evidence","Presentation of Evidence","B","C:\FOC\Workspace\QBank\20841.md","in_scope_exact_code","False"
"foc_qbank","21242","31010406","31010406",,"Evidence","Presentation of Evidence","D","C:\FOC\Workspace\QBank\21242.md","in_scope_exact_code","False"
"foc_qbank","21406","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\21406.md","in_scope_exact_code","False"
"foc_qbank","21418","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\21418.md","in_scope_exact_code","False"
"foc_qbank","21466","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\21466.md","in_scope_exact_code","False"
"foc_qbank","21484","31010406","31010406",,"Evidence","Presentation of Evidence","C","C:\FOC\Workspace\QBank\21484.md","in_scope_exact_code","False"
"foc_qbank","21738","31010406","31010406",,"Evidence","Presentation of Evidence","A","C:\FOC\Workspace\QBank\21738.md","in_scope_exact_code","False"
"foc_qbank","22213","31010406","31010406",,"Evidence","Presentation of Evidence","D","C:\FOC\Workspace\QBank\22213.md","in_scope_exact_code","True"
"foc_finished","14825","31010407","31010407",,"EVIDENCE","Refreshing recollection","C","C:\FOC\Workspace\Finished\CQ14825.md","transformed_exact_code","True"
"foc_finished","22211","31010407","31010407",,"EVIDENCE","Refreshing recollection","C","C:\FOC\Workspace\Finished\CQ22211.md","transformed_exact_code","True"
