"question_id","outline_code","source_outline_code","coverage_group","seed_bucket","correct_percent","key","has_finished_transform","qbank_path","transform_path","selected_path","review_status"
"14824","31010107","31010107","preliminary_question_judge_jury","medium_friction","42","B","True","C:\FOC\Workspace\QBank\14824.md","C:\FOC\Workspace\Finished\CQ14824.md","C:\FOC\Workspace\Finished\CQ14824.md","seed_candidate_needs_human_review"
"14829","31010107","31010107","preliminary_question_judge_jury","clean_teaching","72","C","True","C:\FOC\Workspace\QBank\14829.md","C:\FOC\Workspace\Finished\CQ14829.md","C:\FOC\Workspace\Finished\CQ14829.md","seed_candidate_needs_human_review"
"14834","31010107","31010107","preliminary_question_judge_jury","clean_teaching","81","C","True","C:\FOC\Workspace\QBank\14834.md","C:\FOC\Workspace\Finished\CQ14834.md","C:\FOC\Workspace\Finished\CQ14834.md","seed_candidate_needs_human_review"
"14835","31010107","31010107","preliminary_question_judge_jury","clean_teaching","69","D","True","C:\FOC\Workspace\QBank\14835.md","C:\FOC\Workspace\Finished\CQ14835.md","C:\FOC\Workspace\Finished\CQ14835.md","seed_candidate_needs_human_review"
"14837","31010107","31010107","preliminary_question_judge_jury","clean_teaching","75","C","True","C:\FOC\Workspace\QBank\14837.md","C:\FOC\Workspace\Finished\CQ14837.md","C:\FOC\Workspace\Finished\CQ14837.md","seed_candidate_needs_human_review"
"14823","31010406","31010406","witness_truthfulness_bias","medium_friction","55","B","True","C:\FOC\Workspace\QBank\14823.md","C:\FOC\Workspace\Finished\CQ14823.md","C:\FOC\Workspace\Finished\CQ14823.md","seed_candidate_needs_human_review"
"14836","31010406","31010406","witness_truthfulness_bias","clean_teaching","67","A","True","C:\FOC\Workspace\QBank\14836.md","C:\FOC\Workspace\Finished\CQ14836.md","C:\FOC\Workspace\Finished\CQ14836.md","seed_candidate_needs_human_review"
"14844","31010406","31010406","witness_truthfulness_bias","medium_friction","46","C","True","C:\FOC\Workspace\QBank\14844.md","C:\FOC\Workspace\Finished\CQ14844.md","C:\FOC\Workspace\Finished\CQ14844.md","seed_candidate_needs_human_review"
"14848","31010406","31010406","witness_truthfulness_bias","clean_teaching","78","D","True","C:\FOC\Workspace\QBank\14848.md","C:\FOC\Workspace\Finished\CQ14848.md","C:\FOC\Workspace\Finished\CQ14848.md","seed_candidate_needs_human_review"
"22232","31010406","31010502","witness_truthfulness_bias","recode_or_ambiguous",,"B","True","C:\FOC\Workspace\QBank\22232.md","C:\FOC\Workspace\Finished\CQ22232.md","C:\FOC\Workspace\Finished\CQ22232.md","seed_candidate_needs_human_review"
"14825","31010407","31010407","adjacent_pilot_code","clean_teaching","62","C","True","C:\FOC\Workspace\QBank\14825.md","C:\FOC\Workspace\Finished\CQ14825.md","C:\FOC\Workspace\Finished\CQ14825.md","seed_candidate_needs_human_review"
"17318","31010407","31010407","adjacent_pilot_code","needs_human_review",,"B","False","C:\FOC\Workspace\QBank\17318.md",,"C:\FOC\Workspace\QBank\17318.md","seed_candidate_needs_human_review"
"18076","31010407","31010407","adjacent_pilot_code","needs_human_review",,"D","False","C:\FOC\Workspace\QBank\18076.md",,"C:\FOC\Workspace\QBank\18076.md","seed_candidate_needs_human_review"
"22211","31010407","31010407","adjacent_pilot_code","needs_human_review",,"C","True","C:\FOC\Workspace\QBank\22211.md","C:\FOC\Workspace\Finished\CQ22211.md","C:\FOC\Workspace\Finished\CQ22211.md","seed_candidate_needs_human_review"
"22227","31010407","31010407","adjacent_pilot_code","needs_human_review",,"C","True","C:\FOC\Workspace\QBank\22227.md","C:\FOC\Workspace\Finished\CQ22227.md","C:\FOC\Workspace\Finished\CQ22227.md","seed_candidate_needs_human_review"
"14765","31010503","31010503","witness_truthfulness_bias","clean_teaching","69","B","True","C:\FOC\Workspace\QBank\14765.md","C:\FOC\Workspace\Finished\CQ14765.md","C:\FOC\Workspace\Finished\CQ14765.md","seed_candidate_needs_human_review"
"14826","31010503","31010503","witness_truthfulness_bias","clean_teaching","81","C","True","C:\FOC\Workspace\QBank\14826.md","C:\FOC\Workspace\Finished\CQ14826.md","C:\FOC\Workspace\Finished\CQ14826.md","seed_candidate_needs_human_review"
"14830","31010503","31010503","witness_truthfulness_bias","clean_teaching","68","C","True","C:\FOC\Workspace\QBank\14830.md","C:\FOC\Workspace\Finished\CQ14830.md","C:\FOC\Workspace\Finished\CQ14830.md","seed_candidate_needs_human_review"
"14840","31010503","31010503","witness_truthfulness_bias","clean_teaching","85","C","True","C:\FOC\Workspace\QBank\14840.md","C:\FOC\Workspace\Finished\CQ14840.md","C:\FOC\Workspace\Finished\CQ14840.md","seed_candidate_needs_human_review"
"14852","31010503","31010503","witness_truthfulness_bias","clean_teaching","87","C","True","C:\FOC\Workspace\QBank\14852.md","C:\FOC\Workspace\Finished\CQ14852.md","C:\FOC\Workspace\Finished\CQ14852.md","seed_candidate_needs_human_review"
"14872","32020302","32020302","fre_403_insurance_policy_purpose","clean_teaching","64","B","True","C:\FOC\Workspace\QBank\14872.md","C:\FOC\Workspace\Finished\CQ14872.md","C:\FOC\Workspace\Finished\CQ14872.md","seed_candidate_needs_human_review"
"14875","32020302","32020302","fre_403_insurance_policy_purpose","clean_teaching","84","C","False","C:\FOC\Workspace\QBank\14875.md",,"C:\FOC\Workspace\QBank\14875.md","seed_candidate_needs_human_review"
"14899","32020302","32020302","fre_403_insurance_policy_purpose","clean_teaching","76","C","True","C:\FOC\Workspace\QBank\14899.md","C:\FOC\Workspace\Finished\CQ14899.md","C:\FOC\Workspace\Finished\CQ14899.md","seed_candidate_needs_human_review"
"17130","32020302","32020302","fre_403_insurance_policy_purpose","needs_human_review",,"C","False","C:\FOC\Workspace\QBank\17130.md",,"C:\FOC\Workspace\QBank\17130.md","seed_candidate_needs_human_review"
"18503","32020302","32020302","fre_403_insurance_policy_purpose","needs_human_review",,"B","True","C:\FOC\Workspace\QBank\18503.md","C:\FOC\Workspace\Finished\CQ18503.md","C:\FOC\Workspace\Finished\CQ18503.md","seed_candidate_needs_human_review"
"14873","32020404","32020404","adjacent_pilot_code","medium_friction","48","B","True","C:\FOC\Workspace\QBank\14873.md","C:\FOC\Workspace\Finished\CQ14873.md","C:\FOC\Workspace\Finished\CQ14873.md","seed_candidate_needs_human_review"
"14883","32020404","32020404","adjacent_pilot_code","clean_teaching","60","B","True","C:\FOC\Workspace\QBank\14883.md","C:\FOC\Workspace\Finished\CQ14883.md","C:\FOC\Workspace\Finished\CQ14883.md","seed_candidate_needs_human_review"
"14896","32020404","32020402","adjacent_pilot_code","recode_or_ambiguous","37","A","True","C:\FOC\Workspace\QBank\14896.md","C:\FOC\Workspace\Finished\CQ14896.md","C:\FOC\Workspace\Finished\CQ14896.md","seed_candidate_needs_human_review"
"19579","32020404","32020404","adjacent_pilot_code","needs_human_review",,"B","True","C:\FOC\Workspace\QBank\19579.md","C:\FOC\Workspace\Finished\CQ19579.md","C:\FOC\Workspace\Finished\CQ19579.md","seed_candidate_needs_human_review"
